identifier,X,Y,rmse,mae,mean_rel_error,lpips,lacunarity_error
20180601_hrrrt17_npk,10.0,0.98,55.617836,45.804718,0.27406502,0.1610649824142456,0.3214932079316252
20180601_hrrrt17_idw,10.0,0.98,20.865955,16.444263,0.15130657,0.1869705319404602,0.098765673396811
20180601_hrrrt17_ordinary_kriging,10.0,0.98,27.25531,22.207485,0.18724705,0.1500154584646225,0.1129406867954361
20180601_hrrrt17_pk,10.0,0.98,43.490784,34.603657,0.20720232,0.1243174225091934,0.2428712454793024
20180601_hrrrt17_npk,1.0,0.98,81.8944,77.39867,0.43962225,0.3786607980728149,0.2714541934036424
20180601_hrrrt17_idw,1.0,0.98,27.197844,22.966223,0.18562737,0.5788981914520264,0.1081293389657655
20180601_hrrrt17_ordinary_kriging,1.0,0.98,31.670618,26.814102,0.2124176,0.4582270085811615,0.127607743429635
20180601_hrrrt17_pk,1.0,0.98,73.94042,66.392944,0.38094175,0.3337768614292145,0.3282580293022042
20180601_hrrrt17_npk,20.0,0.98,15.218478,11.641746,0.074740306,0.0263674519956111,0.0827006407140496
20180601_hrrrt17_idw,20.0,0.98,13.316561,8.835826,0.10893319,0.1389492750167846,0.0806659598564098
20180601_hrrrt17_ordinary_kriging,20.0,0.98,14.909584,10.405554,0.11727216,0.1172176077961921,0.0880699905574064
20180601_hrrrt17_pk,20.0,0.98,17.257446,13.819467,0.08404655,0.0303587932139635,0.0883902709659465
20180601_hrrrt17_npk,30.0,0.98,11.631877,8.274058,0.05435803,0.0213625393807888,0.0549005980384399
20180601_hrrrt17_idw,30.0,0.98,13.772003,9.401673,0.118941896,0.1093738228082656,0.0856538812122534
20180601_hrrrt17_ordinary_kriging,30.0,0.98,15.418929,10.760809,0.12614514,0.1028583794832229,0.087416863310391
20180601_hrrrt17_pk,30.0,0.98,9.235697,6.8428783,0.04523443,0.0206279512494802,0.036206479889584
20180601_hrrrt17_npk,5.0,0.98,68.09875,58.97662,0.3479551,0.225663810968399,0.3818083423054627
20180601_hrrrt17_idw,5.0,0.98,19.591413,15.225334,0.13994706,0.2663899958133697,0.1120334033504565
20180601_hrrrt17_ordinary_kriging,5.0,0.98,25.785461,20.934738,0.17308085,0.1553857773542404,0.1223121908849146
